Type,comment,like,share,Total_Interactions,Paid,Lifetime_Post_Total_Impressions,Lifetime_Post_Total_Reach
Photo,0,19,5,24,0,4410,2585
Photo,1,71,23,95,0,5969,3322
Photo,0,72,21,93,0,5807,3600
Photo,5,54,7,66,0,21564,11620
Photo,5,93,19,117,0,7004,4248
Photo,0,62,10,72,0,4388,2763
Photo,0,78,16,94,0,5396,3558
Photo,0,14,1,15,0,14480,8324
Photo,11,231,43,285,0,11469,6952
Photo,0,148,7,155,0,80871,58304
Photo,2,208,28,238,0,8303,4762
Photo,12,148,28,188,0,10217,6150
Photo,3,142,18,163,0,29650,22464
Photo,8,107,20,135,0,6295,3754
Photo,0,22,3,25,0,7998,4452
Photo,2,84,13,99,0,5525,3576
Photo,2,59,12,73,0,4794,3028
Photo,9,186,23,218,0,70212,47376
Photo,0,58,17,75,0,5113,3234
Photo,2,74,14,90,0,5553,3322
Photo,2,180,44,226,0,11525,6768
Photo,0,36,5,41,0,18474,13544
Photo,2,51,6,59,0,5659,3418
Photo,20,1372,47,1439,0,104966,56672
Photo,2,33,10,45,0,5405,3110
Photo,1,79,17,97,0,6486,3806
Photo,16,617,58,691,0,55633,39040
Photo,20,199,32,251,0,34095,21248
Photo,1,107,26,134,0,8025,4344
Photo,0,50,10,60,0,4698,2718
Photo,0,64,20,84,0,5630,3024
Status,2,55,10,67,0,17099,10152
Photo,1,142,37,180,0,8090,4708
Photo,2,72,9,83,0,4642,2772
Photo,4,79,16,99,0,4954,2812
Photo,25,307,58,390,0,32576,18056
Photo,6,212,36,254,0,8745,5016
Photo,2,95,17,114,0,6181,3528
Photo,5,194,33,232,0,11509,6444
Link,3,46,14,63,0,19301,12540
Photo,37,821,90,948,0,65149,38960
Photo,1,58,13,72,0,5067,3144
Photo,45,1639,122,1806,0,124753,81856
Photo,3,155,32,190,0,10164,5728
Photo,4,400,25,429,0,25542,18552
Photo,2,98,18,118,0,7165,4132
Photo,12,138,38,188,0,9209,4910
Photo,3,148,16,167,0,7633,4202
Photo,2,267,40,309,0,10441,5976
Photo,1,144,29,174,0,8962,5206
Photo,25,256,54,335,0,12066,6984
Photo,3,72,24,99,0,10300,6000
Photo,0,87,18,105,0,5797,3332
Status,1,129,36,166,0,16811,9232
Photo,9,194,33,236,0,51899,24264
Photo,1,124,32,157,0,7594,4280
Photo,4,304,47,355,0,11859,6692
Photo,4,41,9,54,0,15350,11336
Photo,45,407,76,528,0,55202,28352
Photo,2,93,26,121,0,15194,9084
Photo,0,66,13,79,0,9835,6596
Photo,8,186,18,212,0,251269,128064
Photo,11,235,34,280,0,9970,5994
Photo,1,64,22,87,0,10417,6172
Photo,2,92,28,122,0,8198,4986
Photo,3,53,13,69,0,10701,6668
Photo,0,48,8,56,0,45508,35008
Photo,0,35,5,40,0,12695,9880
Photo,4,37,3,44,0,5953,3334
Photo,1,96,18,115,0,26026,20920
Photo,1,57,13,71,0,6406,3884
Photo,3,114,21,138,0,7057,4240
Photo,1,51,6,58,0,6156,3544
Photo,5,81,11,97,0,110172,71360
Photo,1,71,18,90,0,6333,3824
Photo,9,164,52,225,0,11079,6360
Link,1,379,40,420,0,94172,70912
Photo,1,52,24,77,0,7253,4552
Photo,1,63,26,90,0,7004,4390
Photo,2,97,25,124,0,7716,4770
Link,1,36,7,44,0,42092,34192
Photo,4,138,26,168,0,8769,5302
Photo,7,142,24,173,0,9301,5560
Photo,1,75,15,91,0,6769,4406
Photo,7,227,15,249,0,1110282,49632
Status,3,25,6,34,0,14759,9120
Photo,0,0,0,0,0,2474,1874
Photo,1,27,11,39,0,7073,4122
Photo,0,39,14,53,0,8238,5080
Photo,0,61,13,74,0,7333,4068
Photo,0,32,7,39,0,6079,3272
Photo,0,2,0,2,0,570,238
Photo,8,109,3,120,0,5900,3358
Photo,0,32,6,38,0,11941,6400
Link,2,68,15,85,0,10885,6876
Photo,0,6,1,7,0,746,391
Photo,4,213,13,230,0,22468,10844
Photo,0,2,0,2,0,9067,5132
Photo,0,3,0,3,0,6971,3772
Link,0,6,0,6,0,5144,2933
Photo,0,4,0,4,0,7469,4094
Photo,0,4,1,5,0,726,452
Photo,12,211,14,237,0,23855,11420
Photo,1,15,1,17,0,10510,5704
Photo,11,95,4,110,0,12811,7192
Photo,0,136,13,149,0,457509,122944
Link,2,32,15,49,0,10083,5730
Photo,1,76,9,86,0,7960,4898
Photo,1,28,7,36,0,7355,4118
Photo,10,664,97,771,0,191207,34480
Photo,1,62,10,73,0,9940,5338
Photo,0,48,20,68,0,9411,5312
Photo,3,148,21,172,0,33000,20528
Photo,0,96,29,125,0,11459,6416
Photo,4,49,15,68,0,10634,5786
Photo,3,98,27,128,0,10508,5878
Photo,14,198,70,282,0,16535,9528
Photo,5,159,53,217,0,14157,8500
Photo,6,154,18,178,0,42940,28128
Photo,5,128,32,165,0,12627,7228
Photo,146,1546,181,1873,0,665792,55520
Photo,5,79,11,95,0,10115,5880
Photo,9,268,36,313,0,453213,158208
Photo,4,128,38,170,0,10832,6484
Photo,5,264,36,305,0,31467,15288
Photo,10,193,61,264,0,16779,9528
Link,4,114,13,131,0,14986,9356
Photo,7,160,57,224,0,13264,7732
Photo,0,46,15,61,0,8893,5240
Photo,0,73,13,86,0,39641,21928
Link,1,101,5,107,0,7927,39600
Photo,1,74,31,106,0,8745,5536
Photo,7,84,36,127,0,10325,6056
Photo,56,360,99,515,0,20696,11484
Photo,3,187,36,226,0,9456,66784
Photo,2,69,26,97,0,8779,5526
Photo,2,82,24,108,0,8367,5040
Link,0,12,2,14,0,8371,5168
Photo,2,56,25,83,0,8030,5034
Photo,1,44,21,66,0,7491,4908
Photo,21,277,80,378,0,17442,9700
Photo,1,74,28,103,0,7754,4800
Photo,1,79,30,110,0,8703,5280
Link,0,128,9,137,0,5808,45920
Photo,17,185,55,257,0,13960,8412
Photo,10,125,41,176,0,9218,5400
Photo,5,53,26,84,0,7536,4684
Photo,0,53,22,75,0,6229,3480
Photo,4,93,18,115,0,7216,3778
Photo,7,91,38,136,0,7564,4156
